gene_symbol,log2FC,pvalue,padj
Cd40,2.1350000000000007,0.0008599701970524063,0.04695111129495118
Oas2,2.0700000000000003,0.0008623805633953254,0.04695111129495118
Nfkbib,0.9150000000000009,0.0008648327868449621,0.04695111129495118
Slc16a10,-1.0700000000000003,0.0008722960487683925,0.04695111129495118
Gas6,-1.6649999999999991,0.0008736025155716099,0.04695111129495118
Itga5,2.040000000000001,0.0008759143284918984,0.04695111129495118
Igtp,0.6050000000000004,0.0008867366431304917,0.04695111129495118
Irf7,2.9999999999999982,0.0008877054568066824,0.04695111129495118
RT1-CE7,0.46999999999999886,0.0009041593168792988,0.04695111129495118
Pde4b,1.6649999999999991,0.0009095782250588865,0.04695111129495118
Cd300lf,1.1700000000000008,0.0009118930969543594,0.04695111129495118
Hgf,-1.7250000000000005,0.0009145179509833054,0.04695111129495118
Snx10,1.6999999999999993,0.0009156957319119336,0.04695111129495118
Ddx6,-0.5950000000000006,0.000916752070284099,0.04695111129495118
Slc22a17,-0.5950000000000006,0.0009167520702841369,0.04695111129495118
Sephs2,1.7850000000000001,0.0009167520702841428,0.04695111129495118
Dync1li1,0.495000000000001,0.0009170107384901987,0.04695111129495118
Htr2b,-0.6600000000000001,0.0009170107384902019,0.04695111129495118
Lipc,0.16500000000000004,0.0009170107384902019,0.04695111129495118
Cct2,-0.16499999999999915,0.0009170107384902117,0.04695111129495118
Zc3h13,-0.16499999999999915,0.0009170107384902117,0.04695111129495118
Trim26,0.6999999999999993,0.0009171041823303128,0.04695111129495118
Mx2,2.33,0.0009197264840441303,0.04695111129495118
Cpxm1,0.5199999999999996,0.0009232759793260416,0.04695111129495118
Fcgrt,-0.8849999999999998,0.0009243766418930074,0.04695111129495118
Nek6,1.2500000000000018,0.0009267102187076223,0.04695111129495118
St8sia4,-2.2750000000000004,0.0009309529330387615,0.04696638197970513
Nufip1,0.3650000000000002,0.0009369438954078361,0.04696638197970513
Il1rn,1.0949999999999989,0.0009369438954079058,0.04696638197970513
Leprot,-0.23000000000000043,0.0009438416449404129,0.04703784709187647
Cxcl10,2.2600000000000016,0.000948214978995575,0.04703784709187647
Tmem134,0.5849999999999991,0.0009483169510980312,0.04703784709187647
Gbp5,3.2699999999999996,0.0009572038772806367,0.047111016360390195
Sesn1,-1.7750000000000004,0.0009587464022770062,0.047111016360390195
Clk4,-0.8049999999999997,0.0009630759019112616,0.047111016360390195
Nfia,-0.8049999999999997,0.0009630759019112616,0.047111016360390195
Lars,0.865000000000002,0.0009675538173474764,0.04716741736388763
Cbx3,-0.7099999999999991,0.0009903934290792053,0.048115483509991806
Clic4,1.2349999999999994,0.0009983554178356997,0.048336757533847224
Grk3,1.2000000000000002,0.0010054260867293646,0.04851351859300261
Arrdc4,1.1350000000000007,0.0010269628836592577,0.04899715150660165
Ndufs5,-0.22000000000000242,0.0010314597897003643,0.04899715150660165
Vps54,-0.4400000000000013,0.0010314597897004723,0.04899715150660165
Tmem132a,-0.3100000000000005,0.001038961319480904,0.04899715150660165
Cspp1,-0.48999999999999844,0.0010396093880211173,0.04899715150660165
Psmb8,0.7899999999999991,0.001039875496235338,0.04899715150660165
Sla,1.3099999999999987,0.0010472425493258195,0.04899715150660165
Zfp105,-0.34499999999999975,0.001048548049708914,0.04899715150660165
Anxa7,0.34500000000000064,0.0010485480497089833,0.04899715150660165
Acsl1,1.96,0.0010525839948469953,0.04899715150660165
P4hb,0.5549999999999997,0.001053442211300825,0.04899715150660165
Clec4e,3.6899999999999995,0.0010595573000555419,0.049120522413686
Snx24,-0.6500000000000021,0.001063390151314462,0.049137630900804426
Spcs1,-0.6100000000000012,0.0010732495713664898,0.049432202660405926
Hnrnph1,-0.4800000000000004,0.001083306568678738,0.04954734630378915
Evi2a,-0.9100000000000001,0.0010850566821955644,0.04954734630378915
Pdia5,0.625,0.0010862275976651929,0.04954734630378915
Jup,-1.5749999999999993,0.001096706689338741,0.04976259849313154
Sema4a,2.0999999999999996,0.0010979623099076675,0.04976259849313154
Rassf4,2.219999999999999,0.0011040046310585637,0.04987710094330186
Ly6e,2.424999999999999,0.001107732608330859,0.04988665010089385
Irgm,1.0799999999999983,0.0011126806201848067,0.049911822752563534
Macf1,-0.7599999999999998,0.0011234502099348898,0.049911822752563534
Gbp2,2.215,0.001124221730376829,0.049911822752563534
Zfp9,-0.20999999999999996,0.0011318622755624869,0.049911822752563534
Plpp3,2.504999999999999,0.001149405095588231,0.049911822752563534
Rnf114,0.75,0.0011535564423662884,0.049911822752563534
Cdc42ep2,4.209999999999999,0.001154614476397235,0.049911822752563534
Mt1,-1.33,0.001156901585145343,0.049911822752563534
Lgals3bp,1.2100000000000009,0.0011591044702747603,0.049911822752563534
Lilra5,-1.959999999999999,0.0011693327112025226,0.049911822752563534
Smarca2,-0.5250000000000004,0.0011770568613704378,0.049911822752563534
Maoa,-1.0500000000000007,0.0011770568613704536,0.049911822752563534
Dimt1,0.46000000000000085,0.0011793847717210708,0.049911822752563534
Tfpt,0.32500000000000107,0.0011813353208439863,0.049911822752563534
Scpep1,-0.2900000000000009,0.0011869440384785033,0.049911822752563534
Slc3a2,0.7249999999999996,0.0011869440384785124,0.049911822752563534
Tspan4,-0.14499999999999957,0.001186944038478518,0.049911822752563534
App,0.14499999999999957,0.001186944038478518,0.049911822752563534
Trim3,0.14500000000000046,0.0011869440384787138,0.049911822752563534
Cdipt,0.14499999999999957,0.001186944038478939,0.049911822752563534
Fbxo32,-0.41000000000000014,0.0011876488751033623,0.049911822752563534
Rhoq,1.6900000000000013,0.00118831301586335,0.049911822752563534
Stat2,1.4899999999999993,0.0011915070045320436,0.049911822752563534
Mrgprx2,-0.5949999999999998,0.0011983227791606892,0.049911822752563534
RT1-T24-1,0.5949999999999989,0.0011983227791607428,0.049911822752563534
Tp53inp1,-1.88,0.0012003026263151357,0.049911822752563534
Prrg4,-0.875,0.0012059781770558731,0.049911822752563534
Xpot,1.1500000000000004,0.001207638752893803,0.049911822752563534
Atp23,-0.8100000000000005,0.0012171007096413067,0.049911822752563534
Lcp2,-0.7300000000000004,0.0012175139143563835,0.049911822752563534
Mocs1,0.6399999999999988,0.0012184724886012738,0.049911822752563534
Atf3,-0.5149999999999988,0.0012231269572473417,0.049911822752563534
Ptger2,1.6599999999999993,0.0012315721701194999,0.049911822752563534
RT1-CE1,0.4499999999999993,0.0012322863584305977,0.049911822752563534
Nr4a2,-2.8,0.0012349534601825602,0.049911822752563534
Usp18,2.8,0.0012349534601825602,0.049911822752563534
Foxp1,-1.4249999999999998,0.0012411450347494342,0.05001955529248714
Gcc2,-0.20000000000000018,0.00124766112215527,0.050139718637095355
Il9r,0.3150000000000004,0.00125738764680569,0.05031210036948438
Casp4,2.2699999999999996,0.0012590438200456053,0.05031210036948438
Npl,-1.4649999999999999,0.0012672581751454707,0.050371918290947754
Gsap,2.8200000000000003,0.001267642381916562,0.050371918290947754
Pgap1,-1.1950000000000003,0.0012755441541124817,0.05054432784983146
Rasgrp3,-1.2850000000000001,0.001284444403688996,0.05071251145536105
Slc31a1,-0.7100000000000009,0.001286938116729873,0.05071251145536105
Gdap1l1,-0.41500000000000004,0.001303875961999819,0.050984874686421676
Ass1,3.3449999999999998,0.001304527263045963,0.050984874686421676
Tnip1,1.2750000000000004,0.0013046319971218856,0.050984874686421676
Fam129a,2.4400000000000013,0.0013159279006990383,0.051080999194944375
Aimp2,0.4949999999999992,0.001323762099577037,0.051080999194944375
Slc9a3r2,-0.495000000000001,0.0013237620995771178,0.051080999194944375
Yipf1,-0.9899999999999984,0.0013237620995771274,0.051080999194944375
Il1b,2.994999999999999,0.0013267825261464162,0.051080999194944375
Kmt2e,-0.5649999999999977,0.0013286965108511542,0.051080999194944375
Rnf145,-0.8200000000000003,0.0013358076463885907,0.05113909850921959
Actr3,0.3049999999999997,0.001341022461964591,0.05113909850921959
Ino80c,0.3049999999999997,0.001341022461964591,0.05113909850921959
Gpr34,-3.125,0.0013616936273579034,0.05166296328219594
Tmem114,0.6900000000000004,0.0013624698461632237,0.05166296328219594
Actrt3,0.1349999999999998,0.0013689260353326033,0.05166296328219594
Gars,1.084999999999999,0.0013775132899520959,0.05166296328219594
H2afv,-0.8499999999999996,0.001381216128824746,0.05166296328219594
Prrc2a,-0.1899999999999995,0.001382170667490488,0.05166296328219594
Asns,1.9949999999999992,0.0013852983316947115,0.05166296328219594
Lamtor3,0.6000000000000014,0.00138600205209077,0.05166296328219594
Tmem123,1.2650000000000006,0.0013875362336470218,0.05166296328219594
Mx1,2.5549999999999997,0.0013948953644479921,0.051679599683808995
Siglec1,1.495000000000001,0.0013952690454602315,0.051679599683808995
Gcgr,1.0750000000000002,0.001403206476734325,0.05170360280247613
Rgs1,-1.0749999999999984,0.0014032064767343373,0.05170360280247613
Slc46a3,-2.4399999999999995,0.0014246573392572763,0.051792481810384136
Nme6,0.5450000000000017,0.0014277922706253704,0.051792481810384136
Tcf12,-0.5449999999999982,0.0014277922706253893,0.051792481810384136
Htra2,0.29499999999999993,0.0014332815163282872,0.051792481810384136
Inpp5d,-0.29499999999999815,0.0014332815163283041,0.051792481810384136
Aldh16a1,-0.29499999999999993,0.0014332815163284399,0.051792481810384136
Cp,0.47499999999999964,0.0014373383513890533,0.051792481810384136
Itgam,0.47499999999999964,0.0014373383513891715,0.051792481810384136
Stmn1,-0.9299999999999997,0.001442128176730681,0.051792481810384136
Eprs,0.9299999999999997,0.0014421281767307017,0.051792481810384136
Gdpd1,-0.8349999999999991,0.001466879736372648,0.05234689200069584
Sgms2,2.0600000000000005,0.0014695603376149722,0.05234689200069584
Umps,-1.1199999999999992,0.001471554081387206,0.05234689200069584
Csf2,0.9199999999999999,0.0014735795338472568,0.05234689200069584
Cxcl12,0.2599999999999998,0.001476015564660816,0.05234689200069584
Rabep1,0.41000000000000014,0.0014839005058598124,0.0524952932073
Tnf,2.6849999999999987,0.001498174833625811,0.05265968216810106
Pik3cd,-0.6449999999999996,0.0014989365982013387,0.05265968216810106
Ncf2,0.46499999999999986,0.0014996836032646855,0.05265968216810106
Rasal2,-0.9099999999999993,0.001506070314601795,0.052753366624545835
Nfkbie,1.3200000000000003,0.0015174298341572383,0.05302034390974036
Itpr2,-0.5099999999999989,0.001534331551968072,0.05327177909272817
Atp5j,-0.28500000000000014,0.0015353916625359127,0.05327177909272817
Foxo1,-0.5249999999999995,0.0015383928388775171,0.05327177909272817
Tmem147,-0.17999999999999972,0.0015396467945875195,0.05327177909272817
Amd1,0.40000000000000213,0.0015588474013641807,0.0535158007317942
Coro1b,0.7999999999999989,0.0015588474013642298,0.0535158007317942
Tnfrsf21,-1.3000000000000007,0.0015643687909042906,0.0535158007317942
Rac2,1.3649999999999984,0.0015661716737729308,0.0535158007317942
Xiap,0.45500000000000007,0.0015661716737729835,0.0535158007317942
Arl5c,2.6950000000000003,0.0015693340691122506,0.0535158007317942
Birc3,2.3550000000000004,0.0015874417810102074,0.05365703938167442
Jun,-0.7300000000000004,0.001591239834301181,0.05365703938167442
Gns,-0.125,0.0015961702114102663,0.05365703938167442
Sumo2,-0.125,0.0015961702114102663,0.05365703938167442
